File,WaveData20240823_025.csv,
Date/Time,24-08-23/17:01,

Center Wavelength,1550,nm
Span Wavelength,100,nm
Start Wavelength,1500,nm
Stop Wavelength,1600,nm
Value In Air/Vacuum,Air,
Optical Attenuater,On,
Resolution,0.5,nm
Actual Resolution,0.473,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1500,nm
Stop,1600,nm
1500.000000,4.3160E-007
1500.200000,-3.4950E-007
1500.400000,-2.4700E-007
1500.600000,1.5580E-007
1500.800000,1.3460E-006
1501.000000,1.5920E-006
1501.200000,-1.0200E-007
1501.400000,1.2870E-007
1501.600000,-4.9130E-007
1501.800000,-1.7940E-006
1502.000000,2.7310E-006
1502.200000,-3.9250E-007
1502.400000,1.8780E-007
1502.600000,-5.4980E-007
1502.800000,-1.2470E-007
1503.000000,6.0570E-007
1503.200000,8.0660E-007
1503.400000,1.4100E-006
1503.600000,8.9360E-008
1503.800000,1.6640E-006
1504.000000,1.5090E-006
1504.200000,3.9020E-007
1504.400000,1.0600E-006
1504.600000,4.4620E-007
1504.800000,4.0250E-007
1505.000000,-3.8570E-008
1505.200000,-6.2760E-007
1505.400000,-2.3360E-007
1505.600000,-3.5090E-008
1505.800000,2.9000E-007
1506.000000,1.2330E-006
1506.200000,-4.7010E-007
1506.400000,-3.7660E-007
1506.600000,5.0990E-007
1506.800000,1.0150E-006
1507.000000,9.0610E-010
1507.200000,2.3660E-007
1507.400000,5.8090E-008
1507.600000,1.0440E-007
1507.800000,5.2740E-008
1508.000000,-9.7460E-007
1508.200000,2.3690E-007
1508.400000,3.3740E-007
1508.600000,-8.5350E-007
1508.800000,4.1120E-008
1509.000000,2.3410E-007
1509.200000,1.3480E-006
1509.400000,1.3280E-007
1509.600000,-4.4480E-007
1509.800000,-1.0550E-006
1510.000000,1.1520E-006
1510.200000,9.0780E-007
1510.400000,-1.0570E-006
1510.600000,4.7530E-007
1510.800000,2.9050E-007
1511.000000,1.3780E-006
1511.200000,1.1610E-006
1511.400000,1.8400E-009
1511.600000,1.0840E-006
1511.800000,8.0040E-007
1512.000000,4.2140E-007
1512.200000,4.0020E-007
1512.400000,-4.0490E-007
1512.600000,2.8890E-007
1512.800000,2.3190E-007
1513.000000,5.2560E-007
1513.200000,-5.7720E-007
1513.400000,-2.1260E-007
1513.600000,-1.4450E-007
1513.800000,7.5710E-007
1514.000000,4.1450E-008
1514.200000,-8.7450E-008
1514.400000,4.0540E-007
1514.600000,1.5260E-006
1514.800000,9.1460E-007
1515.000000,2.1290E-007
1515.200000,-6.0870E-008
1515.400000,8.8480E-007
1515.600000,-5.5550E-007
1515.800000,1.1620E-007
1516.000000,1.2570E-006
1516.200000,4.3490E-007
1516.400000,1.7080E-007
1516.600000,1.4990E-006
1516.800000,-1.7840E-007
1517.000000,-8.2420E-007
1517.200000,3.1170E-007
1517.400000,-5.4510E-007
1517.600000,-7.5560E-007
1517.800000,8.4700E-007
1518.000000,4.9570E-007
1518.200000,1.7600E-007
1518.400000,1.3720E-007
1518.600000,2.9310E-007
1518.800000,1.9290E-007
1519.000000,9.5820E-007
1519.200000,7.4290E-008
1519.400000,-2.0990E-007
1519.600000,6.0220E-007
1519.800000,1.4770E-007
1520.000000,9.3930E-008
1520.200000,-7.4590E-007
1520.400000,7.5140E-007
1520.600000,7.0580E-007
1520.800000,-5.1890E-007
1521.000000,6.2570E-007
1521.200000,3.2450E-007
1521.400000,1.3540E-006
1521.600000,1.7380E-007
1521.800000,7.0000E-007
1522.000000,-1.1120E-006
1522.200000,-1.3330E-006
1522.400000,1.1050E-007
1522.600000,1.4860E-006
1522.800000,-1.0540E-006
1523.000000,4.2660E-007
1523.200000,1.6560E-006
1523.400000,1.1700E-006
1523.600000,8.1330E-007
1523.800000,1.8320E-006
1524.000000,1.1700E-006
1524.200000,5.6330E-007
1524.400000,4.2380E-007
1524.600000,2.3780E-007
1524.800000,7.7500E-007
1525.000000,1.9780E-007
1525.200000,7.1620E-007
1525.400000,1.9040E-007
1525.600000,7.7000E-007
1525.800000,7.3270E-007
1526.000000,-9.3780E-008
1526.200000,1.1400E-006
1526.400000,-1.7820E-007
1526.600000,-2.1070E-007
1526.800000,2.4880E-007
1527.000000,3.7880E-007
1527.200000,7.5110E-007
1527.400000,4.0110E-007
1527.600000,1.4430E-006
1527.800000,1.1070E-006
1528.000000,2.9250E-006
1528.200000,4.0970E-004
1528.400000,1.0160E-003
1528.600000,1.5240E-003
1528.800000,1.6660E-003
1529.000000,1.0860E-003
1529.200000,4.1410E-004
1529.400000,1.9630E-005
1529.600000,5.2620E-005
1529.800000,1.2910E-003
1530.000000,2.9020E-003
1530.200000,3.7550E-003
1530.400000,3.8730E-003
1530.600000,2.3070E-003
1530.800000,6.2010E-004
1531.000000,2.1030E-005
1531.200000,5.1420E-004
1531.400000,3.1180E-003
1531.600000,5.8790E-003
1531.800000,6.6940E-003
1532.000000,5.7860E-003
1532.200000,3.0730E-003
1532.400000,4.7430E-004
1532.600000,1.5780E-005
1532.800000,9.1270E-004
1533.000000,3.6850E-003
1533.200000,5.8260E-003
1533.400000,5.7660E-003
1533.600000,4.3250E-003
1533.800000,1.9460E-003
1534.000000,1.6310E-004
1534.200000,1.6350E-005
1534.400000,5.4920E-004
1534.600000,1.6000E-003
1534.800000,2.2190E-003
1535.000000,1.8720E-003
1535.200000,1.2360E-003
1535.400000,5.2350E-004
1535.600000,5.2400E-005
1535.800000,6.9610E-006
1536.000000,7.0690E-004
1536.200000,1.8380E-003
1536.400000,2.4310E-003
1536.600000,2.0920E-003
1536.800000,1.2540E-003
1537.000000,4.6600E-004
1537.200000,2.8000E-005
1537.400000,6.0540E-006
1537.600000,6.9990E-004
1537.800000,1.7100E-003
1538.000000,2.2050E-003
1538.200000,2.0100E-003
1538.400000,1.1950E-003
1538.600000,4.1050E-004
1538.800000,1.3810E-005
1539.000000,6.6570E-006
1539.200000,5.9350E-004
1539.400000,1.3380E-003
1539.600000,1.7380E-003
1539.800000,1.6120E-003
1540.000000,9.3610E-004
1540.200000,2.7400E-004
1540.400000,2.0220E-005
1540.600000,6.9730E-006
1540.800000,6.8670E-004
1541.000000,1.5020E-003
1541.200000,1.8570E-003
1541.400000,1.7280E-003
1541.600000,9.8100E-004
1541.800000,2.6090E-004
1542.000000,2.0030E-005
1542.200000,8.9220E-006
1542.400000,7.3390E-004
1542.600000,1.5870E-003
1542.800000,1.9140E-003
1543.000000,1.7660E-003
1543.200000,9.8390E-004
1543.400000,2.1940E-004
1543.600000,1.7420E-005
1543.800000,1.3390E-005
1544.000000,7.2820E-004
1544.200000,1.5090E-003
1544.400000,1.7800E-003
1544.600000,1.5970E-003
1544.800000,9.0880E-004
1545.000000,1.6120E-004
1545.200000,1.5030E-005
1545.400000,5.2480E-005
1545.600000,8.1750E-004
1545.800000,1.6320E-003
1546.000000,1.8750E-003
1546.200000,1.6820E-003
1546.400000,9.4090E-004
1546.600000,1.6470E-004
1546.800000,1.4800E-005
1547.000000,5.6910E-005
1547.200000,8.5240E-004
1547.400000,1.7100E-003
1547.600000,1.9410E-003
1547.800000,1.7210E-003
1548.000000,9.1730E-004
1548.200000,1.5530E-004
1548.400000,1.3380E-005
1548.600000,5.2440E-005
1548.800000,7.5430E-004
1549.000000,1.5110E-003
1549.200000,1.6910E-003
1549.400000,1.4840E-003
1549.600000,8.3090E-004
1549.800000,1.2870E-004
1550.000000,1.1490E-005
1550.200000,5.1070E-005
1550.400000,7.5720E-004
1550.600000,1.4960E-003
1550.800000,1.6810E-003
1551.000000,1.4940E-003
1551.200000,8.3020E-004
1551.400000,1.4400E-004
1551.600000,1.2060E-005
1551.800000,4.5450E-005
1552.000000,7.7650E-004
1552.200000,1.5600E-003
1552.400000,1.7580E-003
1552.600000,1.5750E-003
1552.800000,8.9310E-004
1553.000000,1.6400E-004
1553.200000,1.4130E-005
1553.400000,3.9730E-005
1553.600000,7.6250E-004
1553.800000,1.5690E-003
1554.000000,1.7830E-003
1554.200000,1.6240E-003
1554.400000,9.4050E-004
1554.600000,2.0320E-004
1554.800000,1.5690E-005
1555.000000,8.2130E-006
1555.200000,8.0310E-004
1555.400000,1.7080E-003
1555.600000,2.0300E-003
1555.800000,1.8870E-003
1556.000000,1.0590E-003
1556.200000,2.7390E-004
1556.400000,1.8150E-005
1556.600000,5.0820E-006
1556.800000,6.4850E-004
1557.000000,1.4520E-003
1557.200000,1.7680E-003
1557.400000,1.6700E-003
1557.600000,9.7220E-004
1557.800000,2.8230E-004
1558.000000,1.2520E-005
1558.200000,1.0390E-005
1558.400000,6.1930E-004
1558.600000,1.4680E-003
1558.800000,1.8580E-003
1559.000000,1.7670E-003
1559.200000,1.0920E-003
1559.400000,3.7160E-004
1559.600000,1.3790E-005
1559.800000,4.3710E-006
1560.000000,5.7410E-004
1560.200000,1.5300E-003
1560.400000,2.0720E-003
1560.600000,1.9820E-003
1560.800000,1.2920E-003
1561.000000,4.9910E-004
1561.200000,2.6510E-005
1561.400000,4.4760E-006
1561.600000,4.4890E-004
1561.800000,1.3170E-003
1562.000000,1.9910E-003
1562.200000,1.9130E-003
1562.400000,1.3310E-003
1562.600000,5.7000E-004
1562.800000,4.3340E-005
1563.000000,5.4620E-006
1563.200000,3.1560E-004
1563.400000,1.1560E-003
1563.600000,1.8880E-003
1563.800000,1.8330E-003
1564.000000,1.3880E-003
1564.200000,6.6560E-004
