File,WaveData20240823_033.csv,
Date/Time,24-08-23/17:05,

Center Wavelength,1550,nm
Span Wavelength,50,nm
Start Wavelength,1525,nm
Stop Wavelength,1575,nm
Value In Air/Vacuum,Air,
Optical Attenuater,On,
Resolution,0.2,nm
Actual Resolution,0.196,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1525,nm
Stop,1575,nm
1525.000000,9.6110E-007
1525.100000,2.1870E-007
1525.200000,1.0210E-006
1525.300000,-9.9610E-007
1525.400000,1.0370E-006
1525.500000,-6.1120E-007
1525.600000,1.6030E-006
1525.700000,2.5530E-007
1525.800000,1.3210E-006
1525.900000,-1.1920E-006
1526.000000,6.2050E-007
1526.100000,-5.0690E-007
1526.200000,-5.8210E-008
1526.300000,1.8500E-006
1526.400000,8.2610E-008
1526.500000,-3.8580E-007
1526.600000,6.0640E-007
1526.700000,4.1020E-007
1526.800000,7.5000E-007
1526.900000,1.3280E-006
1527.000000,5.0780E-007
1527.100000,1.1910E-006
1527.200000,-1.5870E-006
1527.300000,6.1950E-007
1527.400000,9.2870E-007
1527.500000,1.1350E-007
1527.600000,1.4260E-006
1527.700000,1.8590E-006
1527.800000,1.8670E-007
1527.900000,1.9710E-008
1528.000000,1.1510E-006
1528.100000,3.3530E-006
1528.200000,5.4810E-004
1528.300000,2.7200E-003
1528.400000,4.4070E-003
1528.500000,4.8320E-003
1528.600000,5.1650E-003
1528.700000,5.4800E-003
1528.800000,5.8200E-003
1528.900000,6.1770E-003
1529.000000,5.9330E-003
1529.100000,5.2630E-003
1529.200000,5.1730E-003
1529.300000,5.4960E-003
1529.400000,5.8250E-003
1529.500000,6.2080E-003
1529.600000,6.5670E-003
1529.700000,6.7760E-003
1529.800000,5.9450E-003
1529.900000,4.7470E-003
1530.000000,4.5550E-003
1530.100000,4.8370E-003
1530.200000,5.0990E-003
1530.300000,5.3210E-003
1530.400000,5.6170E-003
1530.500000,6.0860E-003
1530.600000,5.7140E-003
1530.700000,5.1660E-003
1530.800000,5.3890E-003
1530.900000,5.6160E-003
1531.000000,5.8810E-003
1531.100000,6.1080E-003
1531.200000,6.1380E-003
1531.300000,5.9110E-003
1531.400000,5.7610E-003
1531.500000,5.8360E-003
1531.600000,5.9860E-003
1531.700000,6.1430E-003
1531.800000,6.2210E-003
1531.900000,6.3510E-003
1532.000000,6.4470E-003
1532.100000,6.6130E-003
1532.200000,7.0440E-003
1532.300000,7.3090E-003
1532.400000,7.2740E-003
1532.500000,7.3050E-003
1532.600000,7.3910E-003
1532.700000,7.2930E-003
1532.800000,7.1530E-003
1532.900000,6.8370E-003
1533.000000,6.2430E-003
1533.100000,5.9130E-003
1533.200000,5.8050E-003
1533.300000,5.5620E-003
1533.400000,5.3450E-003
1533.500000,5.1420E-003
1533.600000,4.9040E-003
1533.700000,5.5220E-003
1533.800000,6.6010E-003
1533.900000,6.7090E-003
1534.000000,6.2690E-003
1534.100000,5.9440E-003
1534.200000,5.5160E-003
1534.300000,5.0900E-003
1534.400000,4.9090E-003
1534.500000,6.1010E-003
1534.600000,7.4910E-003
1534.700000,7.3910E-003
1534.800000,6.7880E-003
1534.900000,6.2220E-003
1535.000000,5.7380E-003
1535.100000,5.2520E-003
1535.200000,5.0750E-003
1535.300000,6.4470E-003
1535.400000,7.7100E-003
1535.500000,7.3630E-003
1535.600000,6.7570E-003
1535.700000,6.1970E-003
1535.800000,5.6550E-003
1535.900000,5.1780E-003
1536.000000,5.0640E-003
1536.100000,5.9460E-003
1536.200000,6.6260E-003
1536.300000,6.2480E-003
1536.400000,5.7350E-003
1536.500000,5.3040E-003
1536.600000,4.9070E-003
1536.700000,4.5620E-003
1536.800000,4.6180E-003
1536.900000,5.5200E-003
1537.000000,6.0720E-003
1537.100000,5.7410E-003
1537.200000,5.3880E-003
1537.300000,5.0500E-003
1537.400000,3.6730E-003
1537.500000,1.3240E-003
1537.600000,1.5980E-004
1537.700000,9.0920E-005
1537.800000,8.7230E-005
1537.900000,8.2950E-005
1538.000000,7.7750E-005
1538.100000,7.4750E-005
1538.200000,7.7990E-005
1538.300000,7.0840E-005
1538.400000,6.8970E-005
1538.500000,6.4140E-005
1538.600000,6.2460E-005
1538.700000,6.4410E-005
1538.800000,6.3020E-005
1538.900000,6.2040E-005
1539.000000,6.0050E-005
1539.100000,6.1670E-005
1539.200000,5.9060E-005
1539.300000,5.5170E-005
1539.400000,5.7880E-005
1539.500000,5.4190E-005
1539.600000,5.6650E-005
1539.700000,5.1390E-005
1539.800000,5.2900E-005
1539.900000,4.9680E-005
1540.000000,5.1510E-005
1540.100000,5.0360E-005
1540.200000,5.2040E-005
1540.300000,5.0530E-005
1540.400000,4.9680E-005
1540.500000,5.0310E-005
1540.600000,4.8510E-005
1540.700000,4.5950E-005
1540.800000,4.9040E-005
1540.900000,4.7620E-005
1541.000000,4.6700E-005
1541.100000,4.9720E-005
1541.200000,4.9910E-005
1541.300000,4.5710E-005
1541.400000,4.8140E-005
1541.500000,4.7720E-005
1541.600000,4.8400E-005
1541.700000,4.7730E-005
1541.800000,4.9140E-005
1541.900000,4.9010E-005
1542.000000,4.7860E-005
1542.100000,4.8540E-005
1542.200000,4.7570E-005
1542.300000,5.0480E-005
1542.400000,5.2180E-005
1542.500000,4.7750E-005
1542.600000,5.0260E-005
1542.700000,5.0710E-005
1542.800000,4.8890E-005
1542.900000,4.8110E-005
1543.000000,4.9810E-005
1543.100000,4.9850E-005
1543.200000,5.1060E-005
1543.300000,5.0750E-005
1543.400000,5.2230E-005
1543.500000,5.1730E-005
