File,WaveData20240823_014.csv,
Date/Time,24-08-23/16:35,

Center Wavelength,1550,nm
Span Wavelength,100,nm
Start Wavelength,1500,nm
Stop Wavelength,1600,nm
Value In Air/Vacuum,Air,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.068,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1500,nm
Stop,1600,nm
1500.000000,1.7860E-005
1500.200000,1.7540E-005
1500.400000,1.6010E-005
1500.600000,1.7740E-005
1500.800000,1.6490E-005
1501.000000,1.6520E-005
1501.200000,1.9670E-005
1501.400000,1.6560E-005
1501.600000,2.0360E-005
1501.800000,2.0550E-005
1502.000000,1.7960E-005
1502.200000,2.2280E-005
1502.400000,2.0230E-005
1502.600000,2.0410E-005
1502.800000,1.9290E-005
1503.000000,2.4460E-005
1503.200000,2.4670E-005
1503.400000,2.3820E-005
1503.600000,2.3360E-005
1503.800000,2.2310E-005
1504.000000,2.2750E-005
1504.200000,2.4320E-005
1504.400000,2.5980E-005
1504.600000,2.7580E-005
1504.800000,2.5500E-005
1505.000000,2.3610E-005
1505.200000,2.6410E-005
1505.400000,2.6940E-005
1505.600000,2.9610E-005
1505.800000,2.6550E-005
1506.000000,3.0410E-005
1506.200000,3.0060E-005
1506.400000,2.9820E-005
1506.600000,3.2930E-005
1506.800000,3.3570E-005
1507.000000,3.3510E-005
1507.200000,3.3530E-005
1507.400000,3.0540E-005
1507.600000,3.5700E-005
1507.800000,3.7450E-005
1508.000000,3.7250E-005
1508.200000,3.6520E-005
1508.400000,3.7600E-005
1508.600000,3.6630E-005
1508.800000,4.1520E-005
1509.000000,4.2960E-005
1509.200000,4.3720E-005
1509.400000,4.6300E-005
1509.600000,4.8850E-005
1509.800000,5.0540E-005
1510.000000,5.1110E-005
1510.200000,5.1960E-005
1510.400000,5.2900E-005
1510.600000,5.2070E-005
1510.800000,5.8460E-005
1511.000000,5.8360E-005
1511.200000,5.8780E-005
1511.400000,6.0020E-005
1511.600000,6.4490E-005
1511.800000,6.6380E-005
1512.000000,6.8850E-005
1512.200000,7.0840E-005
1512.400000,7.2370E-005
1512.600000,7.4330E-005
1512.800000,7.6510E-005
1513.000000,7.6650E-005
1513.200000,8.0340E-005
1513.400000,8.3180E-005
1513.600000,8.3820E-005
1513.800000,9.3970E-005
1514.000000,9.7150E-005
1514.200000,9.8150E-005
1514.400000,1.0260E-004
1514.600000,1.0390E-004
1514.800000,1.0850E-004
1515.000000,1.1460E-004
1515.200000,1.1730E-004
1515.400000,1.2350E-004
1515.600000,1.3040E-004
1515.800000,1.3640E-004
1516.000000,1.3950E-004
1516.200000,1.4700E-004
1516.400000,1.5600E-004
1516.600000,1.6060E-004
1516.800000,1.7030E-004
1517.000000,1.7810E-004
1517.200000,1.8620E-004
1517.400000,1.9850E-004
1517.600000,2.0670E-004
1517.800000,2.1680E-004
1518.000000,2.3130E-004
1518.200000,2.4070E-004
1518.400000,2.5470E-004
1518.600000,2.7120E-004
1518.800000,2.9000E-004
1519.000000,3.0320E-004
1519.200000,3.2320E-004
1519.400000,3.4620E-004
1519.600000,3.7060E-004
1519.800000,4.0020E-004
1520.000000,4.3010E-004
1520.200000,4.6440E-004
1520.400000,5.0450E-004
1520.600000,5.4560E-004
1520.800000,5.8690E-004
1521.000000,6.3410E-004
1521.200000,6.9670E-004
1521.400000,7.6690E-004
1521.600000,8.4230E-004
1521.800000,9.1910E-004
1522.000000,1.0160E-003
1522.200000,1.1280E-003
1522.400000,1.2530E-003
1522.600000,1.3950E-003
1522.800000,1.5710E-003
1523.000000,1.7530E-003
1523.200000,1.9640E-003
1523.400000,2.2030E-003
1523.600000,2.4890E-003
1523.800000,2.8090E-003
1524.000000,3.1570E-003
1524.200000,3.5700E-003
1524.400000,4.0520E-003
1524.600000,4.6470E-003
1524.800000,5.3010E-003
1525.000000,6.0190E-003
1525.200000,6.8460E-003
1525.400000,7.8270E-003
1525.600000,8.9630E-003
1525.800000,1.0220E-002
1526.000000,1.1670E-002
1526.200000,1.3370E-002
1526.400000,1.5450E-002
1526.600000,1.7690E-002
1526.800000,2.0130E-002
1527.000000,2.2900E-002
1527.200000,2.6240E-002
1527.400000,3.0070E-002
1527.600000,3.4360E-002
1527.800000,3.9050E-002
1528.000000,4.4330E-002
1528.200000,5.0430E-002
1528.400000,5.7360E-002
1528.600000,6.5110E-002
1528.800000,7.3780E-002
1529.000000,8.3570E-002
1529.200000,9.4380E-002
1529.400000,1.0640E-001
1529.600000,1.1960E-001
1529.800000,1.3340E-001
1530.000000,1.4840E-001
1530.200000,1.6540E-001
1530.400000,1.8310E-001
1530.600000,2.0040E-001
1530.800000,2.1760E-001
1531.000000,2.3730E-001
1531.200000,2.5410E-001
1531.400000,2.6930E-001
1531.600000,2.8230E-001
1531.800000,2.9550E-001
1532.000000,3.0280E-001
1532.200000,3.0710E-001
1532.400000,3.0890E-001
1532.600000,3.0500E-001
1532.800000,2.9520E-001
1533.000000,2.8220E-001
1533.200000,2.6890E-001
1533.400000,2.4880E-001
1533.600000,2.2480E-001
1533.800000,2.0110E-001
1534.000000,1.7840E-001
1534.200000,1.5640E-001
1534.400000,1.3380E-001
1534.600000,1.1360E-001
1534.800000,9.6270E-002
1535.000000,8.1560E-002
1535.200000,6.8050E-002
1535.400000,5.6500E-002
1535.600000,4.7220E-002
1535.800000,3.9560E-002
1536.000000,3.3250E-002
1536.200000,2.7890E-002
1536.400000,2.3510E-002
1536.600000,2.0040E-002
1536.800000,1.7280E-002
1537.000000,1.5010E-002
1537.200000,1.3090E-002
1537.400000,1.1610E-002
1537.600000,1.0430E-002
1537.800000,9.4250E-003
1538.000000,8.6490E-003
1538.200000,7.9340E-003
1538.400000,7.3540E-003
1538.600000,6.9100E-003
1538.800000,6.5100E-003
1539.000000,6.1580E-003
1539.200000,5.8820E-003
1539.400000,5.6540E-003
1539.600000,5.4650E-003
1539.800000,5.2960E-003
1540.000000,5.1580E-003
1540.200000,5.0740E-003
1540.400000,4.9920E-003
1540.600000,4.9370E-003
1540.800000,4.8780E-003
1541.000000,4.8470E-003
1541.200000,4.8470E-003
1541.400000,4.8490E-003
1541.600000,4.8470E-003
1541.800000,4.8490E-003
1542.000000,4.8830E-003
1542.200000,4.9130E-003
1542.400000,4.9510E-003
1542.600000,4.9880E-003
1542.800000,5.0420E-003
1543.000000,5.1020E-003
1543.200000,5.1650E-003
1543.400000,5.2190E-003
1543.600000,5.2680E-003
1543.800000,5.3360E-003
1544.000000,5.4050E-003
1544.200000,5.4770E-003
1544.400000,5.5390E-003
1544.600000,5.6150E-003
1544.800000,5.7040E-003
1545.000000,5.7930E-003
1545.200000,5.8510E-003
1545.400000,5.9140E-003
1545.600000,6.0040E-003
1545.800000,6.0930E-003
1546.000000,6.1710E-003
1546.200000,6.2360E-003
1546.400000,6.3080E-003
1546.600000,6.3880E-003
1546.800000,6.4760E-003
1547.000000,6.5250E-003
1547.200000,6.6010E-003
1547.400000,6.6600E-003
1547.600000,6.7470E-003
1547.800000,6.7990E-003
1548.000000,6.8580E-003
1548.200000,6.9210E-003
1548.400000,6.9850E-003
1548.600000,7.0380E-003
1548.800000,7.0680E-003
1549.000000,7.0890E-003
1549.200000,7.1350E-003
1549.400000,7.1670E-003
1549.600000,7.1830E-003
1549.800000,7.2010E-003
1550.000000,7.2180E-003
1550.200000,7.2530E-003
1550.400000,7.2410E-003
1550.600000,7.1960E-003
1550.800000,7.1870E-003
1551.000000,7.1730E-003
1551.200000,7.1520E-003
1551.400000,7.0920E-003
1551.600000,7.0420E-003
1551.800000,7.0150E-003
1552.000000,6.9720E-003
1552.200000,6.9030E-003
1552.400000,6.8130E-003
1552.600000,6.7300E-003
1552.800000,6.6720E-003
1553.000000,6.6040E-003
1553.200000,6.5120E-003
1553.400000,6.4300E-003
1553.600000,6.3630E-003
1553.800000,6.2790E-003
1554.000000,6.1920E-003
1554.200000,6.0890E-003
1554.400000,6.0290E-003
1554.600000,5.9780E-003
1554.800000,5.8770E-003
1555.000000,5.7720E-003
1555.200000,5.7000E-003
1555.400000,5.6480E-003
1555.600000,5.5450E-003
1555.800000,5.4500E-003
1556.000000,5.3620E-003
1556.200000,5.3020E-003
1556.400000,5.1890E-003
1556.600000,5.0940E-003
1556.800000,5.0010E-003
1557.000000,4.9320E-003
1557.200000,4.8550E-003
1557.400000,4.7220E-003
1557.600000,4.6130E-003
1557.800000,4.5150E-003
1558.000000,4.4150E-003
1558.200000,4.2940E-003
1558.400000,4.1840E-003
1558.600000,4.0530E-003
1558.800000,3.9650E-003
1559.000000,3.8230E-003
1559.200000,3.6850E-003
1559.400000,3.5640E-003
1559.600000,3.4460E-003
1559.800000,3.3290E-003
1560.000000,3.1890E-003
1560.200000,3.0590E-003
1560.400000,2.9550E-003
1560.600000,2.8330E-003
1560.800000,2.7120E-003
1561.000000,2.5820E-003
1561.200000,2.4750E-003
1561.400000,2.3740E-003
1561.600000,2.2460E-003
1561.800000,2.1390E-003
1562.000000,2.0400E-003
1562.200000,1.9550E-003
1562.400000,1.8380E-003
1562.600000,1.7540E-003
1562.800000,1.6580E-003
1563.000000,1.5880E-003
1563.200000,1.4980E-003
1563.400000,1.4090E-003
1563.600000,1.3350E-003
1563.800000,1.2710E-003
1564.000000,1.1980E-003
1564.200000,1.1190E-003
1564.400000,1.0670E-003
1564.600000,1.0080E-003
1564.800000,9.6630E-004
