File,WaveData20240823_008.csv,
Date/Time,24-08-23/16:32,

Center Wavelength,1550,nm
Span Wavelength,50,nm
Start Wavelength,1525,nm
Stop Wavelength,1575,nm
Value In Air/Vacuum,Air,
Optical Attenuater,On,
Resolution,0.05,nm
Actual Resolution,0.054,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1525,nm
Stop,1575,nm
1525.000000,4.4730E-003
1525.100000,4.7990E-003
1525.200000,5.0850E-003
1525.300000,5.4630E-003
1525.400000,5.8460E-003
1525.500000,6.2430E-003
1525.600000,6.7140E-003
1525.700000,7.1390E-003
1525.800000,7.6610E-003
1525.900000,8.1680E-003
1526.000000,8.7220E-003
1526.100000,9.3710E-003
1526.200000,9.9640E-003
1526.300000,1.0710E-002
1526.400000,1.1460E-002
1526.500000,1.2210E-002
1526.600000,1.3110E-002
1526.700000,1.3950E-002
1526.800000,1.4950E-002
1526.900000,1.5970E-002
1527.000000,1.7050E-002
1527.100000,1.8350E-002
1527.200000,1.9530E-002
1527.300000,2.0940E-002
1527.400000,2.2400E-002
1527.500000,2.3780E-002
1527.600000,2.5570E-002
1527.700000,2.7060E-002
1527.800000,2.8950E-002
1527.900000,3.0980E-002
1528.000000,3.2940E-002
1528.100000,3.5360E-002
1528.200000,3.7520E-002
1528.300000,4.0080E-002
1528.400000,4.2720E-002
1528.500000,4.5290E-002
1528.600000,4.8490E-002
1528.700000,5.1510E-002
1528.800000,5.5010E-002
1528.900000,5.8560E-002
1529.000000,6.1940E-002
1529.100000,6.6130E-002
1529.200000,7.0020E-002
1529.300000,7.4230E-002
1529.400000,7.9210E-002
1529.500000,8.3600E-002
1529.600000,8.9200E-002
1529.700000,9.3810E-002
1529.800000,9.9210E-002
1529.900000,1.0530E-001
1530.000000,1.1050E-001
1530.100000,1.1720E-001
1530.200000,1.2290E-001
1530.300000,1.2880E-001
1530.400000,1.3580E-001
1530.500000,1.4090E-001
1530.600000,1.4800E-001
1530.700000,1.5480E-001
1530.800000,1.6140E-001
1530.900000,1.6910E-001
1531.000000,1.7460E-001
1531.100000,1.8130E-001
1531.200000,1.8730E-001
1531.300000,1.9170E-001
1531.400000,1.9900E-001
1531.500000,2.0360E-001
1531.600000,2.0850E-001
1531.700000,2.1390E-001
1531.800000,2.1690E-001
1531.900000,2.2080E-001
1532.000000,2.2250E-001
1532.100000,2.2370E-001
1532.200000,2.2600E-001
1532.300000,2.2640E-001
1532.400000,2.2830E-001
1532.500000,2.2640E-001
1532.600000,2.2480E-001
1532.700000,2.2280E-001
1532.800000,2.1850E-001
1532.900000,2.1530E-001
1533.000000,2.0860E-001
1533.100000,2.0320E-001
1533.200000,1.9810E-001
1533.300000,1.9020E-001
1533.400000,1.8290E-001
1533.500000,1.7460E-001
1533.600000,1.6560E-001
1533.700000,1.5760E-001
1533.800000,1.4800E-001
1533.900000,1.3950E-001
1534.000000,1.3100E-001
1534.100000,1.2250E-001
1534.200000,1.1490E-001
1534.300000,1.0620E-001
1534.400000,9.8710E-002
1534.500000,9.1020E-002
1534.600000,8.3420E-002
1534.700000,7.7260E-002
1534.800000,7.0770E-002
1534.900000,6.5180E-002
1535.000000,5.9900E-002
1535.100000,5.4560E-002
1535.200000,4.9990E-002
1535.300000,4.5430E-002
1535.400000,4.1460E-002
1535.500000,3.8000E-002
1535.600000,3.4720E-002
1535.700000,3.1930E-002
1535.800000,2.9070E-002
1535.900000,2.6600E-002
1536.000000,2.4430E-002
1536.100000,2.2190E-002
1536.200000,2.0460E-002
1536.300000,1.8820E-002
1536.400000,1.7290E-002
1536.500000,1.6060E-002
1536.600000,1.4750E-002
1536.700000,1.3690E-002
1536.800000,1.2720E-002
1536.900000,1.1790E-002
1537.000000,1.1080E-002
1537.100000,1.0300E-002
1537.200000,9.6920E-003
1537.300000,9.1190E-003
1537.400000,8.5510E-003
1537.500000,8.1190E-003
1537.600000,7.6690E-003
1537.700000,7.2890E-003
1537.800000,6.9730E-003
1537.900000,6.6150E-003
1538.000000,6.3490E-003
1538.100000,6.0630E-003
1538.200000,5.8090E-003
1538.300000,5.6250E-003
1538.400000,5.3970E-003
1538.500000,5.2550E-003
1538.600000,5.0790E-003
1538.700000,4.9000E-003
1538.800000,4.7740E-003
1538.900000,4.6090E-003
1539.000000,4.5150E-003
1539.100000,4.4240E-003
1539.200000,4.3150E-003
1539.300000,4.2600E-003
1539.400000,4.1520E-003
1539.500000,4.0870E-003
1539.600000,4.0210E-003
1539.700000,3.9410E-003
1539.800000,3.9120E-003
1539.900000,3.8510E-003
1540.000000,3.8120E-003
1540.100000,3.7800E-003
1540.200000,3.7240E-003
1540.300000,3.7080E-003
1540.400000,3.6770E-003
1540.500000,3.6330E-003
1540.600000,3.6400E-003
1540.700000,3.6000E-003
1540.800000,3.5990E-003
1540.900000,3.5910E-003
1541.000000,3.5720E-003
1541.100000,3.5840E-003
1541.200000,3.5620E-003
1541.300000,3.5760E-003
1541.400000,3.5730E-003
1541.500000,3.5510E-003
1541.600000,3.5750E-003
1541.700000,3.5670E-003
1541.800000,3.5760E-003
1541.900000,3.5960E-003
1542.000000,3.6010E-003
1542.100000,3.6220E-003
1542.200000,3.6300E-003
1542.300000,3.6250E-003
1542.400000,3.6520E-003
1542.500000,3.6440E-003
1542.600000,3.6830E-003
1542.700000,3.7090E-003
1542.800000,3.7120E-003
1542.900000,3.7570E-003
1543.000000,3.7540E-003
1543.100000,3.7780E-003
1543.200000,3.8060E-003
1543.300000,3.8030E-003
1543.400000,3.8540E-003
1543.500000,3.8610E-003
1543.600000,3.8870E-003
